artist,text
pearl_jam,"they do this to us
to look up there into
over this boy
they make such a fuss"
soundgarden,"they're waiting for you
as you run for cover
there's a light in the tunnel that leads you home
though sticks and fire sticks and fire
go to where the reptiles roam
though stick and fire and may break your bones
go where the reptiles roam
leave your home
leave your mother and father
your eyes will water your guts will splatter
won't break your bones it is a lie
on the side of the border that is your home"
nine_inch_nails,"i am so impure
i am so impure
devils speak of the ways in which she'll manifest
angels bleed from the tainted touch of my caress
need to contaminate to alleviate this loneliness
i now know the depths
i reach are limitless
oh my beautiful liar
oh my precious whore
my disease my infection"
tool,"the light sure seems cold
it's just a just a sad obsession
the name of the game
back to front the blade tastes blunt
do it again
in fear of turning blind
why your heart is just a stabbing
no desire to touch the fire
this is a punk cover only
shows you're shows you're growing old
hair to grey and some guys say
the nature of your hacking
feel the pain
your starched white lips introvenous she drips
i can't explain
feel the pain the name of the game
i'll take a chance on the wine
in the safety of your bedroom
bloody eyes can't describe
it leaves no stain  leaves no stain"
pearl_jam,"oh a dissident a dissident is here
she had to turn around
i wasn't so sure she wanted him to stay
escape is never the safest place
nothing said what a waste
at a quarter past
escape is never the safest path
she couldn't hold
but when she had contact with the conflict
what to say
but soon she was down
always home but so far away
there was meaning but she sold him to the state
no she folded
a dissident is here
oh a dissidence
oh couldn't hold on
like a word misplaced
soon he was low"
pearl_jam,"i miss you all day
swirls all around
this is how
three crooked hearts
i miss you already yeah
when the sun don't shine it don't shine at all
when the sun don't shine  it don't shine at all
swirls all around yeah
don't it make you smile
don't it make me smile"
tool,"kinda like the way you keep looking away
maynard's dick
opens up and lets the wind lift him away
it doesn't have to feel water
put it right on top of your forehead
slide a mile six inches at a time on
would you like to glide on
it's just a place that feels right with him
now you know what you're fuckin with
i kinda like the way you keep looking away
kinda like the way you're breathing
apprehensive influence swallow away
took you out in the back of the toolshed
you seem to feel abysmal take it
then you're careful grace for sure
would you like to climb on
climb on my six inches and go down on"
audioslave,"i feel the worst is near
i wonder what they hold for us
i won't deny the thought is strange
i hold them close and count they're years
i've done my best and now we'll  myself
i hold my family to my breast
the shape of things to come
i feel the worst and hope the best will come to see us blessed
and pray a ray of light appears
it's not ours to break the shape of things to come
to shine down on us here
i say now when all is said and done
like an owl looking out the blue sky spies the roads we will go down
i move along like a soldier
on the colorful flowers grown upon the dust and moss"
audioslave,"i met were dark silhouette's stumbling in the night
in a  uh huh
a jewel of the summertime
of a better space and time miles away
that reminded me uh huh
jewel of the summertime
jewel of the summer time
burnt face shadow's erased and
they tried to hurt me uh huh
somethin' blinded me uh huh
but we collided uh huh
got alot on me uh huh
but somethin' blinded me uh huh
a jewel of the summer time
i'm bathing in the bright of divided rays
you reminded me uh huh
i'd be alright"
pearl_jam,"it feels like home
wherever you go
they are all in love
i don't want to feel alone
i don't want to feel alone
have some drinks
light my smoke
it's all about the simple things
things can't be the same
i don't know
if you're gonna call me at home"
pearl_jam,"i'm not sayin' we're not a part of it
these songs of freedom
'
redemption song
'
board the merchant ships
redemption song
cause none of them can stop the time
they don't say
by the force of the
you got to fulfill the book
while we stand beside and look
they don't say that your generation triumphantly
say some say it's just a part of it
i'm your generation
have no fear for atomic energy
'
none but ourselves can free our mind
this song of freedom
from the bottomless pit
but my hands were made strong"
pearl_jam,"with gems and rhinestones
you'll be no one's rival
that you're worth keeping
so what ya giving
swallowed whole in negatives
what ya giving
oh pool of blue sky
that's where we're living
all black with starlight
a distant time a distant place
breathing hard making hay
dream the dreams of others then
you are always thinking
nothing left nothing left
which road you taking
see the path cut by the moon
brain is wide the brain is deep
for you to walk on
you will be no one's rival
nothing there nothing left
awaiting your arrival
see the waves on distant shores
nothing there nothing here
yeah this is living
it's so sad and sickening
oh are you sinking
fill the air up with love"
pearl_jam,"here it comes
oh much more than
shaft of a light
oh see the world
run away my son
oh reach the door
much more than
woh see the world
where it goes
life ain't what it's worth
oha and a la la la la yeah
can't see through the faith
i suggest you step out on your porch
there it goes
whoa much more than this
don't you know there's something inside your head yeah 
than this
day in day out accumulating
where it comes
a breath and a
grasp what you can
and a la la la la yeah
oh tamper if you like between the doors
huh huh yeah
a warm breath and a scream
oh can't expect to go out to go out with anything anything more"
tool,"do unto others what has been done to you
released in this sodomy
you're breathing so
you look so precious now 
shit blood and cum on my hands
my lamb and martyr you look so precious
i'm breathing so
i guess you're still alive
even if signs seem to tell me otherwise
i need you to feel this
i'm still alive 
even if signs seem to tell me otherwise
and only this one holy medium brings me piece of mind 
and your eyyyes closed
i need this to make me whole
won't you won't you come just a bit closer 
close enough so
you look so precious now
i am whooooole
i've got my haaands bound my heeead down 
my eyyyes closed and my throat's wide open
i can't stand to burn too long
i'm treading water
for one sweet moment
won't you won't you come a bit closer 
close enough so
i was so young and vestal then you know it hurt me 
but
release in this sodomy
i am your witness that blood and flesh can be trusted
i can smell you
you look so precious
i've come round full circle
i need to sleep a while"
audioslave,"yeah when you come down to take me home
when you come round you'll make me whole
i was saved
but the hours grew so empty
and the ocean sent her waves
when you come down to take me home
send my soul away
and the blessings on my table
multiply and divide
and inside her shown a young light
from her labor
i was happy in this fortress 
in my exile
i've traveled long in darkness
in her harvest
yeah when you come round you'll make me whole
send my soul away
i called by own name
yeah when you come round to take me home
send my soul away
send my soul away
when you come round you'll make me whole
send my soul away
was a wedding in the waves
i'm embraced
in the figure of a woman
and she pulled me out to sea
when you come round you'll make me whole
send my soul away
grow in orchards to the sky"
perfect_circle,"think about it put it on the faultline
what's your hurry everyone will have his day to die
narcissistic drama queen craving fame and all its decadence
do it somewhere far away from here
reckless dark desires
what'll it take to get it through to you precious
such a mess
it's just that this this is not the way
go with this why do you wanna throw it away like this
so could you please
i don't wanna watch you
over this why do you wanna throw it away like this
you've given in to all these
think about it put it on the fautline
suicidal imbecile
disconnect and self destruct one bullet at a time
what's your rush now everyone will have his day to die
they were right about you
if you choose to pull the trigger should your drama prove sincere
why do you wanna throw it away like this
i don't want to watch you"
pearl_jam,"fuck me  7x
i don't beleive nothin' even if it's true no
fuck me in the brain
fuck me in my brain fuck
bout the way you wear your veil
you wanted to be my wife huh huh hah
bout those emotions you wear
you think our love huh
you're drivin' me insane
fuck me my ears are open in my brain
you fuckin' little cunt
you're drivin' me drivin' me insane
is so far above  oh"
soundgarden,"on your steel shore
into my brain
you tied my lead and pulled my chain
in my headlights
when the dogs are looking
i'm gonna break my
for their bones
and hit me with a hand of broken nails
i'm burning diesel burning dinosaur bones
i'll take the river down to still water
to sleep again
and it's raining icepicks
and rusty chains
along the road
cutting my teeth on bars
to watch my blood begin t boil
i'm gonna break my rusty cage and run
and ride a pack of dogs
it's gonna be too dark
rusty cage and run"
audioslave,"but if it helps you man
i wont stop it
where you crawl
i've been drinking life
while you've been nauseous
you better understand
but here's a caution
while you kill yourself
and put the blame on me
so you don't feel a thing
take it out on me
i drink to health
while you've been coughin'
i'll see you at the bottom
i wont preach to you
go on and save yourself
i can offer
 chorus
i've got just one thing that
i wont hold your hand"
alice_in_chains,"you say like my style
you make a man so frustrated
but you keep on playin' those nasty little tricks
give it to me
i want a lip lock rock
i'm not gonna bite
i'm runnin' out of control
just tease me 'till
i make my move
you keep hopin' till
i'm longing of a     just another kiss
lip lock rock
i     just want a little kiss
you got my head buried in a hole
you resist and give me that smile
i just want a little kiss
you look at me the world in your eyes"
alice_in_chains,"i start over
to let things be
the killer is me
shines upon me
i'm havin' fun
let things be
pointed at me
in the name of me
and get over it
can't find the time
no need to run"
tool,"i'm so comfortable  so comfortable 
 shut up    you're saturating me
i'm awaaaake
i'm helpless and
the current's mouth below me 
opens up around me
i'll die in the undertow
suggests and beckons all while swallowing
i've been baptized by your voice 
it screams from deep beneath the cold black water 
and it's half as high as heaven 
and half as clear as reason 
it's cold and and black like silt on the riverbed 
and just as neverending
it doesn't seem that there's a waaay 
ouuut of the undertowwww 
euuuuuuuuu phoooooooo riiiiiiii aaaaaaaaaa
i let this bring me back to my knees 
eu pho ri a
i a
i a
eu pho ri a
too comfortable 
 shut up    you're saturating me
i'm in the undertooow
i let this bring me back to my knees
why don't you kill me
i've been struck dumb by a voice that
speaks from deep beneath the endless waters
i'm so comfortable
it's deep and rich like silt on a riverbed 
and just as neverending
i am weak and numb and insignificant 
how could
it surrounds and drowns and sweeps me awaaaaaaaaay
it's twice as clear as heaven 
and twice as loud as reason
i let this happen"
pearl_jam,"i ain't no fortunate son son son
i ain't no fortunate one one one
i ain't no fortunate son
hail to the
i ain't no millionaires son no no
ooh they send you out to war
silver spoon in hand
it ain't me it ain't me
i ain't no fortunate one no
lord don't they help themselves
ooh that red white 'n blue
and when they play
'
starspangled eyes
ooh they just ask for more and more and more and more and more and
made to wave that flag
how much do we get '
ooh they point the cannon at you lord
australia asks
'
knocks on their door
ooh the house looks like a rummage sale yeah
i ain't no millionaires son no
and when the taxman"
pearl_jam,"does he fly away or just talk about it
anything to get his heart off of the coals
i can help myself don't talk to me
all alone you will meet the one who lies in wait
own experiences lead to a younger
woken up to be burned burned again
thoughts of suicide and alleviation
gonna breathe and
like a seagull born to cry in the wind
tries to forget but he can't he can't
out of bed and he dreams in the shower
reaches for her till his mind becomes blood hot
try to breathe while you can
you can't take it any other way
tries to forget but he can't  he can't  he can't  he can't
she's standing naked and apologizing
i can help myself
i can't take it any other way
had his woman long as he can remember"
pearl_jam,"if it's just inadvertent imitation
and you'll be dipping in your battleship for the latest tip for the latest dream
a pattern in all mankind
what's got the whole world faking it
it's all across this nation
i'll be going out with telephone going out alone to the radar zone
if it's just inadvertent simulation
what's got the whole world faking"
nine_inch_nails,"i have ever been
try to get back to where
i get the worse it becomes
the closer
i'm from
the closer
i get the worse it becomes
it feels like it keeps coming from the inside"
soundgarden,"cracked like glass and slowly
born without a friend
and on the plus and minus
zero chance of ever
in loneliness
and all the sky went silent
and bound to die alone
they all say if you look hard
your holiness
tumbled to the ground
you'll find your way back home
stand up and everyone will see
and crying long upon the loss
turning this around
i stumbled on and all the world fell down"
pearl_jam,"i want is the truth 
just give us the truth 
gonna mother hubbard soft soap me with just a pocket full of hope 
money for dope 
money for rope 
by tight lipped condescending mommies little chauvinistics 
all
i've had enough of watching scenes 
of schitzophrenic egocentric paranoia primadonnas 
all
i've had enough of reading things 
by nuerotic psychotic pig headed politicians 
all
i've had enough of reading things 
by nuerotic psychotic homophobic hypocrits 
all
i want is the truth 
just give us the truth 
all we want is the truth 
just give us the truth 
we can handle the truth 
just give us some truth 
share with us the truth 
we'll give you our truth
i want is the truth 
just gimme some truth
i want is the truth 
just give us the truth 
gonna mother hubbard soft soap me with just a pocket full of hope 
money for rope 
money for dope 
gonna mother hubbard soft soap me with just a pocket full of hope 
it's money for rope 
no blood for rope 
from uptight short sighted narrow minded hypocrits 
all"
audioslave,"and you could tell by my tail and my rib cage what was
i was lost and nearly drowned and kicked around
i won't run away
i know a good thing when it throws me a bone
i'm you're best friend forever
i'm found and
i will leave you never
i am no tail chaser
i will keep things together
backyard basement falling on the pavement
once around me
hungry when you found me
sleep at your feet and stay guard at you're front door"
audioslave,"curl like smoke and breathe again
in the last remaining light
break my bones to watch them heal
heaven wait for those who run
and pray for the day
stand alone and greet
down your winter and underneath your waves
the coming night
i'll watch and
and if you don't believe
drown me in your thirsty veins
where you watch and you wait
the sun will rise
and pray for the rain
through your spine and every nerve
and yield to the hurt
down your throat inside your ribs"
tool,"alright feel cool always
feel alright
nineteen seventy seven baby is rollin' in sight
take your baby burn my heart
fall apart now baby fall apart
beautiful baby be my love
this is a punk cover only
where's your baby burn my heart
radio burning up above
i feel alright"
tool,"i know that you can hear me
you're better off this way
  you're better off this
why can't you turn and face me
i tell you   show me  show me
you fucking disappoint me
it's your right and your ability
maybe you're better off
from what the doctor tells me
i'll say you're vacant
and maybe you're better off this way
cold and catatonic
i'm sure of your ability
to become my perfect enemy
rise up and show me
someday
go ahead and play dead
i know that you can hear this
people better off this way
i'll say you're vacant
and maybe you're better off this way
my perfect enemy
rise up and show me
i catch a brief reflection
of what you could and might have been
rise up  why can't you /
i just can't believe him
prefer the optimistic  one"
alice_in_chains,"playing in the fields when the sun  goes
i loved that girl
all the things you learned were almost real
     strenght to heal
you had fallen out of sight
i loved her more than
i regret having  scared  you away
i knew when
my little girl  
came back down to say goodbye
i was missing you
didn't mean to lie didn't mean to cry
i just wanted to say goodbye
all my fault but nothing to say
before the moon had changed at night
i would be  with her forever
i used to know
she loved me more than
got lost in this place  up high
little girl went to the city now
my little girl
little girl"
tool,"youyou suck
stronzo bastardo  7  
 2
go take it in the ass
 7
bastard piece of shit /
piece of shit
 5    
 6
i'm thinking of your fucking ugly face
pezzo di merda  4
vafanculo  6  ah
bastard asshole
ohhhh you really hurt me
ugh you really hurted me
talk to me fai schifo  3
fai con tu schifo  5
you are disgusting
 4
have you ever been trying to take a nap
i couldn't sleep overnight because of you
you called me an asshole
shit of shit / asshole of shit
 3
i'm trying to take a nap but
fai schifo  3
my heart beats too fast"
perfect_circle,"unable to find my way
drive another nail down another
high and surrendering to the gravity and the unknown
like a baby unable to stand on my own
i choose to live
broken and weary
dizzy and clearly unable to
help me survive the bottom
snare another pill and
i am surrendering to the gravity and the unknown
catch me heal me lift me back up to the sun
dizzy and clearly unable to just let this go
just let this go
tail in hand
needy hole please release me"
pearl_jam,"if he only knew now what he knew then
so this is what it's like to be an adult
dream up a new self for himself
he's alive but feels absolutely nothing
no tradebacks
he waits hoping for a presence something anything to enter
after spending half his life searching he still felt as blank as the ceiling at which he's staring
when he was six he believed that the moon overhead followed him by nine he had deciphered the illusion trading magic for fact"
pearl_jam,"others like it more when there's fire in the sky
i like every minute of the day
and so you see that
they say a suntan never fails
i know a crowd who only lives after midnight
the people on my hill they say
the pleasure seems to balance out the pain
i dig every second
i'm completely crazy
i was lucky to get a job and some pay
i even shun the south of
worship the sun when it's high
each precious moment has its special charm
i know a crowd who  or something
but when they sleep
their faces always seem so pale
get up early just to watch the sunrise
i sing and dance
i was a man who worked a night shift
and then there's friends of mine who must have sunlight
but when they sing
it's all right when you're around rain or shine
i get a buzz from being cold and wet
i could laugh in the snow and rain
so long as you are on my mind
cocktails in the blue red and grey
some people go for those sultry evenings"
nine_inch_nails,"i have never been there
i know what it feels like
 wet as it is  the whiter the honey
i have been inside you
i reject
 goodies come in here all day
i take a little piece of you
i can't remember
i reject
 now girl  only it's flavor  bow down here 
the taste of your sweat
the look in your eye
i reject
photographs
i have never had you
give me your reminder
i have got to have a memory
i took of you
well times
i passed through
so many faces
so many places"
tool,"we both want
you are broken now but faith can heal you
just do everything
christ why don't you come save my life now
what you need is someone strong to guide you
when he speaks
open my eyes and blind me with you light
trust in me now don't you judge or question
to rape you
i tell you to do
let me lay my holy hand up hand upon you
he speaks through me
he has needs"
perfect_circle,"one resolve
to release us all
one more medicated peaceful moment  give me
one more medicated peaceful moment
gotta cut away clear away
i don't wanna feel this overwhelming hostility
liberate this will
keeping me from killing you
gotta cut away clear away snip away and sever this umbilical residue
i don't wanna feel this world around me hostility
pull me into your perfect circle
i can almost hear you scream
snip away inside of this umbilical residue
and from pulling you down with me"
tool,"the damaged and broken met alooong 
this tedious path
gonna wait it out
i still maaaay
i'm still right heeeeeeeere 
loving embrace to see me throuuuugh 
this tedious path
i certainly would've walked awaaay by nooooow   finishes}
gonna wait it ouuuuut
i've chosen heeeeere
i'm still right here giving blood keeping faith
is this a test
i can't go on
draining patience drain vitality 
this paranoid paralyzed vampire act's a little ooold
i certainly would've walked awaaay by nooooow
i've chosen heeeere
gonna wait it ouuuut
i certainly would've walked awaaay by nooooow 
loving embrace to see me throuuuugh 
this tedious path
it has to be"
pearl_jam,"don't you think you've done enough
creating walls to call your own
there's still time
oh don't you think you've got enough
it's no crime to escape
all those yesterdays
it's no crime crime
you've got time to escape
well maybe yea
don't you think you oughtta lay your head down tonight
there's time enough for you to lay your head down tonight
don't you think you want to sleep
all those yesterdays  x9
all those paper plates
don't you think you oughtta lay you head down
you've got time
so no one catches you drifting off and doing all the things that we all do
taking pills to get along
there's still time so escape
you don't think there's time to stop"
pearl_jam,"why must we trust all these rusted rails
yeah they're whipping
they don't want no change
i'm just like you think we've had enough
we already have
i can't believe a thing they want us to
i can't fall back
they're whipping
don't need a bandage there's too much blood
after a while seems to roll right off
oh we all got scars they should have them too
oh don't get behind
don't need a raincoat
i'm already wet"
pearl_jam,"this key to the locks on the chains he saw everywhere
arms wide open with the sea as his floor
deliver him wings
and sometimes is seen a strange spot in the sky
but first he was stripped and then he was stabbed by faceless men
he's flying oh
he got up outta there ran for hundreds of miles
high flying oh
the love he receives is the love that is saved
high wide oh
a wave came crashing like a fist to the jaw
alone in a corridor waiting locked out
well fuckers he still stands
and he still gets his love he just gives it away
he's flying whole
a bad time nothing could save him
a human being that was given to fly
i'm flying oh
he made it to the ocean had a smoke in a tree
the wind rose up set him down on his knee
oh power oh
hey look at me now"
pearl_jam,"i'm special so special
i refuse to believe
unless you're ready 'less you're ready to stand behind it
we're all meaningless
i try don't blame me
we're meaningless meaningless
and we're all meaningless
if you love someone tell 'em
i don't give a fuck
i don't want to see this no more
i'll kick the fuck out of you
let the words that you say to me
that time has come and gone now it's just me
the world will spin
unless the actions sustain it
shower the people you love with love
we're meaningless
meaningless  we're not meaningless
we're not invisible  we're not meaningless
show them the way that you feel
it's meaningless
just me  this means nothin' no more
nobody loves you nobody like me
i try peacefully
this don't mean nothin' no more
i won't give up yeah
i got to have some of your attention give it to me
'
it's time to fuckin' kill somebody"
audioslave,"super stupid did a one and one
then his eyes begin to water and his nose begin to run
your maggot brain your grins and frowns
super stupid you're here today
you've lost the fight and the winner is fear
thought it was coke but it was skag"
soundgarden,"stretch the marks over my eyes
she's resolved to be
damn the water burn the wine
burn the candles deep inside
i feel the hurt surround me
i'm going to the holy land
make no mistakes
i'm what you make me
i'm going home for the very last time
i'm coming from
so let it go let it go let it go won't you let it
give up to fate you don't have to need me
seal my tomb without my face
please dissolve me
yeah you know where
the feeling starts to sink
stretch the skin over my head
i'm going to the lonely place
drown me in you drown me in you drown me in you"
soundgarden,"you got me hanging from
with a dirty feel all right
i don't want anything
pretty noose is pretty hate
eat the fruit
and kiss the snake goodnight
what you got me hanging from
and throw it away all right
pretty noose is a pretty pain
i don't care what you need
this thing has got me on
the wooden stake
fallout and take the bait
a cleaner love
and get this mother gone
i got the perfect steal
out from and far away
i don't like what
i don't like"
alice_in_chains,"i am better off now
i thought that my life was complete
i shoved it back in ur fucking face
and broke it
we'd still be complete
i'm not apart of it  anymore
i realized in the end
u showed me life
and sewed it
u took my heart
but oh well
i'm not apart
i hate the way that you live ur life
i took it back
you were nothin but a cheat
i'm not apart of it anymore
i am better off now
  cause
but who cares
i am more than u r"
nine_inch_nails,"i don't care anymore
nothing can stop me now
i supposed to do
i just don't care
nothing can stop me now
you don't need me anymore
i'm all alone
my little piggy needed something new
nothing can stop me now
i hoped you could help me understand
what am
i planned
hey pig there's a lot of things
i lost my shit because of you
nothing can stop me now
i just don't care
hey pig
nothing's turning out the way"
pearl_jam,"stick 'em up show us your pocket hypocrisy
i could even change the world yeah right
cause my big brother don't want to just let me be
i'm being pushed from above
i'm pushin'
face down  almost  fired
you should be happy with what we give you
i'm flying out
and my big brother come put the blame on me
and the birds don't even whisper
back to back to back a better better better
i got a gun
better back off of him
my house on fire
oh and a brother back to back to back
back to back to back back to back back  brother
in the closet my pleasures
'
face down  brother
watch the nightly news and drink a beer
black clouds flow through grey still skies
you should be hard to be a brother
keep your back off
face down   x3
oh and a brother back to back back"
pearl_jam,"leaning out to catch the sun's rays
are you getting something out of this all encompassing trip
seems that needlessly it's getting harder to find an approach and a way to live
a lesson to be applied
makes much more sense to live in the present tense
makes more sense to live in the present tense
have you the belief that the road ahead ascends off into the light
checked your hands and studied the lines
are we getting something out of this all encompassing trip"
pearl_jam,"darling you'll save me
i can see it coming
and everyone else
his life for our freedoms
to contain him
war on her face
and mom she reassures
before the ground it gives way
she can feel this
the sideways eye
father is risking
if you save yourself
how loud can silence get
in my child's eye
she's folding in darkness
the empty chair where dad sits
but it's becoming a lie
looks like lightning
begging for slumber
i can feel it coming
always giving her
the stars on her pillow
violently shakes
to an endless fall"
pearl_jam,"and my hope in an alley way
and my world is never the same
i love you anyway
this is my staff this is my day
you don't have to run and hide away
there may be no tomorrow no
and my time is standing free
this is my chance this is my voice"
alice_in_chains,"and mama mama ooh  my angry brains of infancy
down your throat and steal your energy
scuse the 'tude but
what's your name
feel the pain and keep it all in till you die
you took everything but my will to be
i haven't eaten today
screamin' at me
and my eyes are turning grey
without eyes you cannot cry
who's to blame
now the loss of your god won't make me bleed
i can't remember"
audioslave,"right or wrong never too strong
i can do no wrong
i've decided to make it alright with my
low and high just one more time
by the age of seventeen
felt like an eternity
sitting on the bottom rung
god forsaken never too late with my
i can do no
friends became my enemies
i hated everything
halo with me underneath
you'll never change
i'm complete
took advice from the wrong shoulder
took a lot of everything
born too young top of my lungs"
audioslave,"i want you to know
no regrets no remorse
to be where
i felt the world turning only for us
i chased you thru the midnight streets
and unlike the times before
where happiness lies
i've come to realize
more than man or machine
higher than any religion
more than fiction
and you burn brighter than most
i didn't care what tomorrow held
even when wrong we're right
i could speak freely
we have more than everything
rise up let life's kiss send us reeling
from yesterday comes tomorrow
we'll squeeze the blood out of life
far beyond the world of diamonds and gold
when life comes alive the past moves aside
only bliss now for you and me
no regrets and no remorse
and say goodnight to the silver of old
more than luck"
pearl_jam,"i got a feeling
yeah whew ooh oh yeah
i won't be late again no no no
i got a feeling that keeps me on my toes oh yeah yeah
i've got a feeling
ooh and if you leave me
i've got a feeling yeah
i can't hide oh no no
i ever wanted was someone who looked like you
i think that everybody knows oh yeah yeah
everybody misses
i'd want to sing like a
temple was a good time
we'll be seeing him in no time
everybody had a wet dream
a feeling deep inside oh yeah yeah
i got a feeling yeah yeah ah ooh yeah"
pearl_jam,"i'm doing okay
i've never slept in
born to be rich
i won't hold my breath
i'm real join the club
amagine they're busy
ah ha ha ha
funny how he always seems to fit in
uninvited as you know he don't wait
such fine examples skinny little bitch
you'd know it if
i'd stop and talk but
model role model
i must admit still visits my place
satan's dick
already in love
again you'd see it you know right round the lips
roll some models in blood
i'm already in love
i always want to give in
i'll wait for an angel but
get some flesh to stick so they look like us
i had that shit don't come off
thursdays the same
i'll never suck
sometimes this special guest he don't like to leave
satan's bed
jump off a cliff don't need your help so back off
who set the standard
i'll rise and fall let me take credit for both"
pearl_jam,"i hope this works
cup and curse these arms
light your pillow
things were different then
wait a living
watch the flames
i'll tell a story but no one would listen that long
i tried to explain
after having seen all that they saw
all is different now"
pearl_jam,"i go swim around in your head
and you will throw your arms around me
i will climb into your bed
so shed your skin lets get started
i will kiss you in four places
i will kiss you in 195 places
i will raise you from your sleep
i go runnin' down your street
ohh yeah uh hum ooh
i will make you laugh
i will make you laugh and make you cry
i make you call my name as you shout it to the blue summer sky
oh  and you will throw your arms around me
i'll make you cry
and we may never forget it
ohh yeah uh huh uh huh"
pearl_jam,"i'm lost nowhere to go
i'm so tired and cold
flowered winds was where
oh please let me dream it's
heaven knows nothing of me
christmas time
thought you burned not froze for your sins
i was a kid oh how magic it seemed
oh please let me sleep it's"
soundgarden,"it's the big lies that are
and they take thine
trying to take my
mind your mother if
i'm losing sleep
monkey circus freak
bloody murder is the best
you want to drink
majesty so seriously
holy bible on the night stand
indigence away from me
as you're raped by another
i'm raped by another
holy devil in the flesh
it makes you feel at ease
some might believe
i've heard her scream
it's the big lies
more likely to be believed
that are more likely to be believed
damn the water if it's life"
tool,"i must leave it behind 
and climb to a new place now 
thought it to beeeeeeee 
thought i was free
i belieeeeved
are crumbling images
that no longer comfort me
the water is rising up on me
cleanse and purge me in the wateeeeeeeeer
i must leave it behind 
and climb to a new place now
i take what is mine 
and hold what is mine 
suffocate what is mine 
and bury what's mine
thought the sun would come deliver me 
but the truth has come to punish me instead 
ground is breaking down right under me
soon the water will come
and claim what is mine
i scramble tooo
reach higher grounnnd 
some order and sanity 
or something to comfort me
i was there 
divine destiny 
and hold what is mine 
suffocate what is mine 
and bury what's mine"
nine_inch_nails,"right over my head
i keep telling myself
when the bass goes 'bomb'
remember what you said
but that ain't how it seems right here right now
hope you understand the way that things are gonna be
i know what you mean
i am trying to believe
there's nowhere left to hide
where we used to meet
i can barely feel
cold metal in my hand
cause god is on our side
is just a waking dream
echoes that are beat
step over the dead
i should be
this is not where"
pearl_jam,"i'm staying here
lucky stars in your eyes
i really don't know why
in circles in circles
i have to care
i'm walking the cow
tried to recall but it's gone"
